Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Stray Animal,11-03815763,"Sep 20, 2011",2011,9,500 W ROSCOE ST, - raccoon - Back yard - night
Stray Animal,11-03839262,"Sep 23, 2011",2011,9,7000 S INDIANA AVE, - Medium sized Raccoon - Sidewalk - Between 5:00 and 6:00AM
Stray Animal,11-03841626,"Sep 24, 2011",2011,9,3600 N ALBANY AVE, - Raccoons (4) - Back yard - Night
Stray Animal,11-03883671,"Oct 01, 2011",2011,10,8000 S MERRILL AVE," - Raccoon brownish + light-brownish color, with long, furry and striped tail - Front yard - 9:00pm (approximately Many neighbors have seen this animals during evening hours"
Stray Animal,11-03919999,"Oct 07, 2011",2011,10,500 E 45TH ST,Raccoon - Backyard / caller states 2 raccoons trapped in garbage cart in alley
Stray Animal,11-03920105,"Oct 07, 2011",2011,10,500 E 45TH ST,Other - RABBIT RACCOON - GARBAGE CART IN THE ALLEY - CALLER IS REQUESTING  A CALL
Stray Animal,11-03920366,"Oct 07, 2011",2011,10,500 E 45TH ST,Raccoon - Garbage Can -[caller is requesting for ACC to contact him back regarding removal of 2 raccoon inside his black city garbage cart- adult raccoon in area being very protective need removal asap]
Stray Animal,11-03985676,"Oct 20, 2011",2011,10,800 W GRACE ST, - Large raccoon - Back yard - Night
Stray Animal,11-04000715,"Oct 23, 2011",2011,10,1200 W 110TH ST, - BIG black and brown raccoons - Back yard - 10:30pm
Stray Animal,11-04000732,"Oct 23, 2011",2011,10,1200 W 110TH PL, - BIG black and brown raccoons - Back yard - 10:30pm
Stray Animal,11-04036456,"Oct 28, 2011",2011,10,1200 W 110TH PL, - Big black raccoon and squirels - Back yard - 11pm
Stray Animal,11-04139312,"Nov 17, 2011",2011,11,3800 W 61ST PL, - it was a raccoon he had to be at least 25lbs - Sidewalk - it was about 7:45pm when i seen
Stray Animal,11-04139313,"Nov 17, 2011",2011,11,3800 W 61ST PL, - it was a raccoon he had to be at least 25lbs - Sidewalk - it was about 7:45pm when i seen
Stray Animal,11-04221143,"Dec 07, 2011",2011,12,700 N LEAMINGTON AVE,Possums and raccoons are living in the vacant property at and terrorizing neighbors. - Possums - Home - early morning
Stray Animal,12-00037589,"Jan 09, 2012",2012,1,2200 N CENTRAL PARK AVE," - Raccoon, very large, I have seen multiple times. - Alley - Evening"
Stray Animal,12-00060345,"Jan 13, 2012",2012,1,11600 S AVENUE J , - A small raccoon - Other - all day
Stray Animal,12-00100345,"Jan 23, 2012",2012,1,4800 S LAVERGNE AVE," - A lot of cats(15 or more)lives at the house AveChicago uotside in front and back yard and the lady (living in  house) feeding that cats.The smell is in each houses front and back yards(between Ave),gardens,kids sand boxes (they playing).Cats pooping ,peeing everythere !People living in house Ave also feeding same cats in front of the house,leaving a lot of food and mess(coming wild animals raccoons).The situation under control at all ! - Front yard - All the time , but mostly they are active at evening and night time .They are in front of the houses, back yards,sidewalks,alleys,street. We need immediately help !"
Stray Animal,12-00108934,"Jan 25, 2012",2012,1,4100 N KEDVALE AVE, - Raccoon - Parkway - Evening/Night
Stray Animal,12-00143649,"Feb 01, 2012",2012,2,2800 W SEIPP ST, - raccoon - Home - 730 am
Stray Animal,12-00541986,"Feb 29, 2012",2012,2,11300 S AVENUE G ,Raccoon - Garbage Can - Attached Garage
Stray Animal,12-00612707,"Mar 14, 2012",2012,3,4300 S FORRESTVILLE AVE," - Several stray cats, possums and raccoons - Sidewalk - Cats roam freely day and night; possums and raccoons at night"
Stray Animal,12-00616224,"Mar 14, 2012",2012,3,8700 S CORNELL AVE, - Either 2 raccoons/possoms/or skunks. I can't tell by the color but they are larger body with small legs and sharp claws because they can climb. They were in the backyard of a few houses but they were climbing on the houses also. - Back yard - We saw them at dusk.
